저주받다,
대견하다,
갇히다,
가두다,
무의미하다,
웬만하다,
시리다,
슬프다,
오붓하다,
막연하다,
보듬다,
점잖다,
내쉬다,
삭히다,
위독하다,
산다,
싸늘하다,
침울하다,
원활하다,
적절하다,
동떨어지다,
눈물나다,
끌어안다,
괴팍하다,
머무르다,
대우받다,
미흡하다,
보고,
멸망하다,
어느새다,
한지,
씩씩하다,
불평등하다,
뚫리다,
병들다,
싸하다,
익숙해지다,
섣부르다,
보살피다,
착실하다,
해하,
캄캄해지다,
자상하다,
되찾다,
치이다,
소박하다,
허전하다,
내려놓다,
얼떨떨하다,
다리다,
의기소침하다,
찢어지다,
낙담하다,
틀어막다,
넓어지다,
눈뜨다,
덜하다,
쓸쓸하다,
자만하다,
휩쓸다,
풍족하다,
찾아내다,
낭비하다,
선하다,
밀치다,
쩔쩔매다,
멍하다,
두텁다,
